preset,density_kg_m3,sweep_low_kg_m3,sweep_high_kg_m3
adult_fly_illustrative,913.6026,817.0473,1036.0372
larva_illustrative,1028.2837,907.8103,1028.2837
arid_beetle_illustrative,902.7670,807.8366,1058.2068
