key,type,title,author,year,journal,doi
Vaswani2017attention,article,Attention Is All You Need,Ashish Vaswani; Noam Shazeer; Niki Parmar; Jakob Uszkoreit; Llion Jones; Aidan N. Gomez; Łukasz Kaiser; Illia Polosukhin,2017,Advances in Neural Information Processing Systems,10.48550/arXiv.1706.03762
LeCun1998gradient,article,Gradient-Based Learning Applied to Document Recognition,Yann LeCun; Léon Bottou; Yoshua Bengio; Patrick Haffner,1998,Proceedings of the IEEE,10.1109/5.726791
He2016deep,inproceedings,Deep Residual Learning for Image Recognition,Kaiming He; Xiangyu Zhang; Shaoqing Ren; Jian Sun,2016,Proceedings of the IEEE Conference on Computer Vision and Pattern Recognition,10.1109/CVPR.2016.90
Goodfellow2014generative,article,Generative Adversarial Nets,Ian Goodfellow; Jean Pouget-Abadie; Mehdi Mirza; Bing Xu; David Warde-Farley; Sherjil Ozair; Aaron Courville; Yoshua Bengio,2014,Advances in Neural Information Processing Systems,10.48550/arXiv.1406.2661
Hochreiter1997lstm,article,Long Short-Term Memory,Sepp Hochreiter; Jürgen Schmidhuber,1997,Neural Computation,10.1162/neco.1997.9.8.1735
Devlin2019bert,inproceedings,BERT: Pre-training of Deep Bidirectional Transformers for Language Understanding,Jacob Devlin; Ming-Wei Chang; Kenton Lee; Kristina Toutanova,2019,Proceedings of NAACL-HLT 2019,10.18653/v1/N19-1423
Brown2020gpt3,article,Language Models are Few-Shot Learners,"Tom B. Brown; Benjamin Mann; Nick Ryder; Melanie Subbiah; Jared Kaplan; Prafulla Dhariwal; Arvind Neelakantan; Pranav Shyam; Girish Sastry; Amanda Askell; Sandhini Agarwal; Ariel Herbert-Voss; Gretchen Krueger; Tom Henighan; Rewon Child; Aditya Ramesh; Daniel M. Ziegler; Jeffrey Wu; Clemens Winter; Christopher Hesse; Mark Chen; Eric Sigler; Mateusz Litwin; Scott Gray; Benjamin Chess; Jack Clark; Christopher Berner; Sam McCandlish; Alec Radford; Ilya Sutskever; Dario Amodei",2020,Advances in Neural Information Processing Systems,10.48550/arXiv.2005.14165
Radford2021clip,inproceedings,Learning Transferable Visual Models From Natural Language Supervision,"Alec Radford; Jong Wook Kim; Chris Hallacy; Aditya Ramesh; Gabriel Goh; Sandhini Agarwal; Girish Sastry; Amanda Askell; Pamela Mishkin; Jack Clark; Gretchen Krueger; Ilya Sutskever",2021,Proceedings of the 38th International Conference on Machine Learning,10.48550/arXiv.2103.00020
