name,x,q_max,use_fractional_part,min_distance,reference_median,reference_mean,empirical_percentile_rank,reference_n,min_q_squared_error,empirical_percentile_rank_q_squared
pi,3.141592653589793,120,False,2.667641894049666e-07,5.679429974760064e-05,0.00013023601573017133,0.0017142857142857142,7000,0.0034063119345120185,0.028428571428571428
e,2.718281828459045,120,False,2.8030695884417867e-05,5.679429974760064e-05,0.00013023601573017133,0.19242857142857142,7000,0.14130273795335047,0.6891428571428572
sqrt2,1.4142135623730951,120,False,7.214823168100182e-05,5.679429974760064e-05,0.00013023601573017133,0.5742857142857143,7000,0.3431457505076194,0.9758571428571429
sqrt3,1.7320508075688772,120,False,9.204468227919094e-05,5.679429974760064e-05,0.00013023601573017133,0.7175714285714285,7000,0.2679491924311228,0.9461428571428572
golden_ratio,1.618033988749895,120,False,5.6460660007306984e-05,5.679429974760064e-05,0.00013023601573017133,0.49814285714285716,7000,0.3819660112501051,1.0
one_sixth,0.16666666666666666,120,False,0.0,5.679429974760064e-05,0.00013023601573017133,0.0,7000,0.0,0.0
ln2,0.6931471805599453,120,False,3.4637621872946056e-05,5.679429974760064e-05,0.00013023601573017133,0.27914285714285714,7000,0.14187351463075626,0.6902857142857143
